Earnings Date,EPS Estimate,Reported EPS,Surprise(%),ticker,beat
2024-04-25,2.82,2.94,4.32,MSFT,1
2024-01-30,2.78,2.93,5.34,MSFT,1
2023-10-24,2.65,2.99,12.7,MSFT,1
2023-07-25,2.55,2.69,5.49,MSFT,1
2023-04-25,2.23,2.45,9.81,MSFT,1
2023-01-24,2.29,2.32,1.09,MSFT,1
2022-10-25,2.3,2.35,2.05,MSFT,1
2022-07-26,2.29,2.23,-2.74,MSFT,0
2022-04-26,2.19,2.22,1.6,MSFT,1
2022-01-25,2.31,2.48,7.25,MSFT,1
2021-10-26,2.07,2.27,9.41,MSFT,1
2021-07-27,1.92,2.17,13.26,MSFT,1
2021-04-27,1.78,1.95,9.63,MSFT,1
2021-01-26,1.64,2.03,23.69,MSFT,1
2020-10-27,1.54,1.82,17.91,MSFT,1
2020-07-22,1.34,1.46,8.72,MSFT,1
2020-04-29,1.26,1.4,10.7,MSFT,1
2020-01-29,1.32,1.51,14.49,MSFT,1
2019-10-23,1.25,1.38,10.83,MSFT,1
2019-07-18,1.21,1.37,12.95,MSFT,1
2019-04-24,1.0,1.14,14.15,MSFT,1
2019-01-30,1.09,1.1,0.7,MSFT,1
2018-10-24,0.96,1.14,18.37,MSFT,1
2018-07-19,1.08,1.13,5.02,MSFT,1
2018-04-26,0.85,0.95,11.86,MSFT,1
2018-01-31,0.86,0.96,11.0,MSFT,1
2017-10-26,0.72,0.84,16.55,MSFT,1
2017-07-20,0.71,0.98,38.93,MSFT,1
2017-04-27,0.7,0.73,4.66,MSFT,1
2017-01-26,0.79,0.84,6.2,MSFT,1
2016-10-20,0.68,0.76,11.27,MSFT,1
2016-07-19,0.58,0.69,18.82,MSFT,1
2025-05-01,1.36,1.59,16.73,AMZN,1
2025-02-06,1.49,1.86,24.47,AMZN,1
2024-10-31,1.14,1.43,25.17,AMZN,1
2024-08-01,1.03,1.26,22.58,AMZN,1
2024-04-30,0.83,0.98,17.91,AMZN,1
2024-02-01,0.8,1.0,24.55,AMZN,1
2023-10-26,0.58,0.94,60.85,AMZN,1
2023-08-03,0.35,0.65,85.73,AMZN,1
2023-04-27,0.21,0.31,46.36,AMZN,1
2023-02-02,0.18,0.25,42.56,AMZN,1
2022-10-27,0.22,0.17,-21.08,AMZN,0
2022-07-28,0.14,0.18,24.9,AMZN,1
2022-04-28,0.42,0.37,-11.7,AMZN,0
2022-02-03,0.18,0.29,62.48,AMZN,1
2021-10-28,0.45,0.31,-31.39,AMZN,0
2021-07-29,0.62,0.76,22.91,AMZN,1
2021-04-29,0.48,0.79,65.48,AMZN,1
2021-02-02,0.36,0.7,94.84,AMZN,1
2020-10-29,0.37,0.62,66.95,AMZN,1
2020-07-30,0.07,0.52,605.29,AMZN,1
2020-04-30,0.31,0.25,-19.83,AMZN,0
2020-01-30,0.2,0.32,60.62,AMZN,1
2019-10-24,0.23,0.21,-8.43,AMZN,0
2019-07-25,0.28,0.26,-6.27,AMZN,0
2019-04-25,0.24,0.35,50.11,AMZN,1
2019-01-31,0.28,0.3,6.34,AMZN,1
2018-10-25,0.16,0.29,82.98,AMZN,1
2018-07-26,0.13,0.25,99.84,AMZN,1
2018-04-26,0.06,0.16,159.65,AMZN,1
2018-02-01,0.09,0.11,17.33,AMZN,1
2017-07-27,0.07,0.02,-71.81,AMZN,0
2017-04-27,0.05,0.07,36.46,AMZN,1
2017-02-02,0.07,0.08,14.35,AMZN,1
2016-10-27,0.04,0.03,-33.25,AMZN,0
2016-07-28,0.06,0.09,60.65,AMZN,1
2025-04-24,2.01,2.27,12.81,GOOGL,1
2025-02-04,2.13,2.15,1.04,GOOGL,1
2024-10-29,1.85,2.12,14.87,GOOGL,1
2024-07-23,1.84,1.89,2.47,GOOGL,1
2024-04-25,1.51,1.89,24.77,GOOGL,1
2024-01-30,1.59,1.64,2.98,GOOGL,1
2023-10-24,1.45,1.55,6.84,GOOGL,1
2023-07-25,1.34,1.44,7.54,GOOGL,1
2023-04-25,1.07,1.17,9.72,GOOGL,1
2023-02-02,1.18,1.05,-10.73,GOOGL,0
2022-10-25,1.25,1.06,-15.14,GOOGL,0
2022-07-26,1.28,1.21,-5.41,GOOGL,0
2022-04-26,1.3,1.23,-5.0,GOOGL,0
2022-02-01,1.37,1.53,12.24,GOOGL,1
2021-10-26,1.17,1.4,19.21,GOOGL,1
2021-07-27,0.97,1.36,40.94,GOOGL,1
2021-04-27,0.79,1.31,66.18,GOOGL,1
2021-02-02,0.8,1.12,40.25,GOOGL,1
2020-10-29,0.56,0.82,45.27,GOOGL,1
2020-07-30,0.41,0.51,23.42,GOOGL,1
2020-04-28,0.52,0.49,-4.41,GOOGL,0
2020-02-03,0.63,0.77,22.49,GOOGL,1
2019-10-28,0.62,0.54,-13.29,GOOGL,0
2019-07-25,0.56,0.71,25.78,GOOGL,1
2019-04-29,0.53,0.6,12.12,GOOGL,1
2019-02-04,0.54,0.64,18.05,GOOGL,1
2018-10-25,0.52,0.65,25.32,GOOGL,1
2018-07-23,0.48,0.59,22.5,GOOGL,1
2018-04-23,0.46,0.5,6.99,GOOGL,1
2018-02-01,0.5,0.49,-2.8,GOOGL,0
2017-10-26,0.42,0.48,14.91,GOOGL,1
2017-07-24,0.22,0.25,11.67,GOOGL,1
2017-04-27,0.37,0.39,4.59,GOOGL,1
2017-01-26,0.48,0.47,-2.95,GOOGL,0
2016-10-27,0.43,0.45,5.02,GOOGL,1
2016-07-28,0.4,0.42,4.72,GOOGL,1
2025-04-24,2.01,2.27,13.15,GOOG,1
2025-02-04,2.13,2.15,1.13,GOOG,1
2024-10-29,1.85,2.12,14.63,GOOG,1
2024-07-23,1.84,1.89,2.46,GOOG,1
2024-04-25,1.51,1.89,25.21,GOOG,1
2024-01-30,1.59,1.64,2.93,GOOG,1
2023-10-24,1.45,1.55,7.2,GOOG,1
2023-07-25,1.34,1.44,7.7,GOOG,1
2023-04-25,1.06,1.17,10.2,GOOG,1
2023-02-02,1.19,1.05,-11.64,GOOG,0
2022-10-25,1.25,1.06,-15.09,GOOG,0
2022-07-26,1.3,1.21,-6.58,GOOG,0
2022-04-26,1.29,1.23,-4.9,GOOG,0
2022-02-01,1.38,1.53,11.55,GOOG,1
2021-10-26,1.17,1.4,19.24,GOOG,1
2021-07-27,0.96,1.36,41.34,GOOG,1
2021-04-27,0.79,1.31,65.59,GOOG,1
2021-02-02,0.8,1.12,39.5,GOOG,1
2020-10-29,0.56,0.82,46.31,GOOG,1
2020-07-30,0.42,0.51,21.43,GOOG,1
2020-04-28,0.52,0.49,-4.92,GOOG,0
2020-02-03,0.63,0.77,21.96,GOOG,1
2019-10-28,0.62,0.54,-13.54,GOOG,0
2019-07-25,0.57,0.71,25.39,GOOG,1
2019-04-29,0.53,0.6,11.95,GOOG,1
2019-02-04,0.54,0.64,18.0,GOOG,1
2018-10-25,0.52,0.65,25.58,GOOG,1
2018-07-23,0.48,0.59,23.19,GOOG,1
2018-04-23,0.47,0.5,6.57,GOOG,1
2018-02-01,0.5,0.49,-2.63,GOOG,0
2017-10-26,0.42,0.48,14.9,GOOG,1
2017-07-24,0.22,0.25,12.06,GOOG,1
2017-04-27,0.37,0.39,4.61,GOOG,1
2017-01-26,0.48,0.47,-3.18,GOOG,0
2016-10-27,0.43,0.45,4.84,GOOG,1
2016-07-28,0.4,0.42,4.89,GOOG,1
2025-04-30,5.28,6.43,21.77,META,1
2025-01-29,6.77,8.02,18.39,META,1
2024-10-30,5.25,6.03,14.81,META,1
2024-07-31,4.73,5.16,9.17,META,1
2024-04-24,4.32,4.71,8.99,META,1
2024-02-01,4.96,5.33,7.51,META,1
2023-10-25,3.63,4.39,20.89,META,1
2023-07-26,2.92,2.98,2.23,META,1
2023-04-26,2.03,2.2,8.51,META,1
2023-02-01,2.22,1.76,-20.6,META,0
2022-10-26,1.89,1.64,-13.09,META,0
2022-07-27,2.59,2.46,-4.95,META,0
2022-04-27,2.56,2.72,6.35,META,1
2022-02-02,3.84,3.67,-4.39,META,0
2021-10-25,3.19,3.22,0.99,META,1
2021-07-28,3.03,3.61,18.99,META,1
2021-04-28,2.37,3.3,39.41,META,1
2021-01-27,3.22,3.88,20.62,META,1
2020-10-29,1.91,2.4,25.95,META,1
2020-07-30,1.39,1.8,29.58,META,1
2020-04-29,1.75,1.71,-2.56,META,0
2020-01-29,2.53,2.56,1.36,META,1
2019-10-30,1.91,2.12,10.92,META,1
2019-07-24,1.88,1.99,5.77,META,1
2019-04-24,1.63,1.89,16.25,META,1
2019-01-30,2.19,2.38,8.88,META,1
2018-10-30,1.47,1.76,19.68,META,1
2018-07-25,1.72,1.74,1.1,META,1
2018-04-25,1.35,1.69,25.12,META,1
2018-01-31,1.95,2.21,13.2,META,1
2017-11-01,1.28,1.59,24.11,META,1
2017-07-26,1.13,1.32,16.93,META,1
2017-05-03,1.12,1.3,16.04,META,1
2017-02-01,1.31,1.41,7.62,META,1
2016-11-02,0.97,1.09,12.87,META,1
2016-07-27,0.82,0.97,18.87,META,1
2025-04-22,0.39,0.27,-30.98,TSLA,0
2025-01-29,0.76,0.73,-4.25,TSLA,0
2024-10-23,0.58,0.72,23.24,TSLA,1
2024-07-23,0.62,0.52,-16.62,TSLA,0
2024-04-23,0.51,0.45,-12.04,TSLA,0
2024-01-24,0.74,0.71,-4.39,TSLA,0
2023-10-18,0.72,0.66,-8.25,TSLA,0
2023-07-19,0.82,0.91,10.63,TSLA,1
2023-04-19,0.85,0.85,-0.04,TSLA,0
2023-01-25,1.13,1.19,5.55,TSLA,1
2022-10-19,0.99,1.05,5.7,TSLA,1
2022-07-20,0.6,0.76,25.11,TSLA,1
2022-04-20,0.75,1.07,42.56,TSLA,1
2022-01-26,0.79,0.85,7.15,TSLA,1
2021-10-20,0.53,0.62,16.68,TSLA,1
2021-07-26,0.33,0.48,47.7,TSLA,1
2021-04-26,0.26,0.31,17.77,TSLA,1
2021-01-27,0.34,0.27,-22.52,TSLA,0
2020-10-21,0.19,0.25,30.72,TSLA,1
2020-07-22,-0.01,0.15,1283.47,TSLA,1
2020-04-29,-0.02,0.08,456.81,TSLA,1
2020-01-29,0.11,0.14,19.49,TSLA,1
2019-10-23,-0.03,0.12,542.7,TSLA,1
2019-07-24,-0.02,-0.07,-214.14,TSLA,0
2019-04-24,-0.05,-0.12,-158.04,TSLA,0
2019-01-30,0.08,0.13,69.3,TSLA,1
2018-10-24,0.03,0.19,530.36,TSLA,1
2018-08-01,-0.2,-0.16,18.34,TSLA,1
2018-05-02,-0.24,-0.22,6.47,TSLA,1
2018-02-07,-0.21,-0.2,1.69,TSLA,1
2017-11-01,-0.15,-0.19,-32.5,TSLA,0
2017-08-02,-0.12,-0.09,27.03,TSLA,1
2017-05-03,-0.09,-0.09,0.74,TSLA,0
2017-02-22,-0.21,-0.14,33.65,TSLA,1
2016-10-26,-0.08,0.14,269.05,TSLA,1
2016-08-03,-0.04,-0.07,-76.67,TSLA,0
2025-05-05,4.63,4.47,-3.46,BRK-B,0
2025-02-22,4.59,6.73,46.62,BRK-B,1
2024-11-04,4.51,4.68,3.65,BRK-B,1
2024-08-05,4.81,5.38,11.85,BRK-B,1
2024-05-04,4.58,5.2,13.66,BRK-B,1
2024-02-24,3.97,3.92,-1.26,BRK-B,0
2023-11-04,4.59,4.96,8.06,BRK-B,1
2023-08-05,3.87,4.62,19.38,BRK-B,1
2023-05-06,3.5,3.69,5.43,BRK-B,1
2023-02-25,3.63,3.06,-15.7,BRK-B,0
2022-11-05,2.67,3.53,32.37,BRK-B,1
2022-08-08,3.33,4.21,26.55,BRK-B,1
2022-04-30,2.8,3.18,13.57,BRK-B,1
2022-02-28,2.88,3.27,13.41,BRK-B,1
2021-11-07,2.99,2.87,-3.91,BRK-B,0
2021-08-07,2.6,2.93,12.69,BRK-B,1
2021-05-01,2.53,3.05,20.39,BRK-B,1
2021-02-27,2.27,2.15,-5.15,BRK-B,0
2020-11-07,2.42,2.3,-4.83,BRK-B,0
2020-08-08,2.24,2.28,1.63,BRK-B,1
2020-05-02,2.51,2.41,-3.98,BRK-B,0
2020-02-22,2.34,1.81,-22.76,BRK-B,0
2019-11-03,2.84,3.07,7.97,BRK-B,1
2019-08-03,2.58,2.5,-3.01,BRK-B,0
2019-05-04,2.29,2.26,-1.31,BRK-B,0
2019-02-23,1.85,2.32,25.58,BRK-B,1
2018-11-03,2.49,2.79,11.96,BRK-B,1
2018-08-04,2.24,2.79,24.78,BRK-B,1
2018-05-05,2.07,2.14,3.58,BRK-B,1
2018-02-24,1.76,1.35,-23.38,BRK-B,0
2017-11-03,1.58,1.4,-11.28,BRK-B,0
2017-08-04,1.88,1.67,-10.93,BRK-B,0
2017-05-05,1.76,1.44,-18.07,BRK-B,0
2017-02-25,1.83,1.78,-2.73,BRK-B,0
2016-11-04,1.99,1.97,-1.01,BRK-B,0
2016-08-05,1.86,1.87,0.72,BRK-B,1
2025-05-28,0.93,0.81,-13.18,NVDA,0
2025-02-26,0.84,0.89,5.5,NVDA,1
2024-11-20,0.75,0.81,8.58,NVDA,1
2024-08-28,0.64,0.68,6.03,NVDA,1
2024-05-22,0.56,0.61,9.48,NVDA,1
2024-02-21,4.64,5.16,11.32,NVDA,1
2023-11-21,3.37,4.02,19.21,NVDA,1
2023-08-23,2.09,2.7,29.41,NVDA,1
2023-05-24,0.92,1.09,18.57,NVDA,1
2023-02-22,0.81,0.88,8.75,NVDA,1
2022-11-16,0.69,0.58,-16.47,NVDA,0
2022-08-24,1.26,0.51,-59.38,NVDA,0
2022-05-25,1.29,1.36,5.15,NVDA,1
2022-02-16,1.22,1.32,7.99,NVDA,1
2021-11-17,1.11,1.17,5.76,NVDA,1
2021-08-18,1.01,1.04,2.51,NVDA,1
2021-05-26,0.82,0.92,11.46,NVDA,1
2021-02-24,0.7,0.78,10.33,NVDA,1
2020-11-18,0.64,0.73,13.1,NVDA,1
2020-08-19,0.49,0.55,10.79,NVDA,1
2020-05-21,0.42,0.45,6.75,NVDA,1
2020-02-13,0.42,0.47,13.24,NVDA,1
2019-11-14,0.39,0.45,13.07,NVDA,1
2019-08-15,0.29,0.31,8.29,NVDA,1
2019-05-16,0.2,0.22,8.69,NVDA,1
2019-02-14,0.19,0.2,6.48,NVDA,1
2018-11-15,0.47,0.46,-1.32,NVDA,0
2018-08-16,0.44,0.49,9.8,NVDA,1
2018-05-10,0.4,0.51,28.67,NVDA,1
2018-02-08,0.29,0.39,34.37,NVDA,1
2017-11-09,0.24,0.33,40.83,NVDA,1
2017-08-10,0.17,0.23,31.84,NVDA,1
2017-05-09,0.16,0.2,19.86,NVDA,1
2017-02-09,0.21,0.25,19.62,NVDA,1
2016-11-10,0.14,0.21,47.27,NVDA,1
2025-04-11,4.61,4.91,6.42,JPM,1
2025-01-15,4.11,4.81,17.08,JPM,1
2024-10-11,4.01,4.37,9.02,JPM,1
2024-07-12,4.19,4.26,1.75,JPM,1
2024-04-12,4.11,4.44,7.92,JPM,1
2024-01-12,3.32,3.04,-8.5,JPM,0
2023-10-13,3.96,4.5,13.71,JPM,1
2023-07-14,4.0,4.98,24.65,JPM,1
2023-04-14,3.41,4.32,26.64,JPM,1
2023-01-13,3.07,3.56,16.14,JPM,1
2022-10-14,2.88,3.36,16.56,JPM,1
2022-07-14,2.88,2.76,-4.25,JPM,0
2022-04-13,2.69,2.76,2.67,JPM,1
2022-01-14,3.01,3.33,10.57,JPM,1
2021-10-13,3.0,3.74,24.82,JPM,1
2021-07-13,3.21,3.78,17.93,JPM,1
2021-04-14,3.1,4.59,48.22,JPM,1
2021-01-15,2.62,3.79,44.46,JPM,1
2020-10-13,2.23,2.92,31.18,JPM,1
2020-07-14,1.04,1.38,32.51,JPM,1
2020-04-14,1.84,0.78,-57.65,JPM,0
2020-01-14,2.35,2.57,9.32,JPM,1
2019-10-15,2.45,2.68,9.35,JPM,1
2019-07-16,2.5,2.51,0.51,JPM,1
2019-04-12,2.35,2.65,12.64,JPM,1
2019-01-15,2.2,1.98,-10.02,JPM,0
2018-10-12,2.25,2.34,3.9,JPM,1
2018-07-13,2.22,2.29,3.29,JPM,1
2018-04-13,2.28,2.26,-0.94,JPM,0
2018-01-12,1.69,1.76,4.08,JPM,1
2017-10-12,1.65,1.76,6.5,JPM,1
2017-07-14,1.58,1.71,8.02,JPM,1
2017-04-13,1.52,1.65,8.62,JPM,1
2025-04-29,2.68,2.76,2.94,V,1
2025-01-30,2.66,2.75,3.36,V,1
2024-10-29,2.58,2.71,5.0,V,1
2024-07-23,2.42,2.42,0.08,V,0
2024-04-23,2.44,2.51,3.02,V,1
2024-01-25,2.34,2.41,3.14,V,1
2023-10-24,2.24,2.33,3.88,V,1
2023-07-25,2.12,2.16,2.08,V,1
2023-04-25,1.99,2.09,5.21,V,1
2023-01-26,2.01,2.18,8.49,V,1
2022-10-25,1.86,1.93,3.53,V,1
2022-07-26,1.75,1.98,13.38,V,1
2022-04-26,1.65,1.79,8.79,V,1
2022-01-27,1.7,1.81,6.32,V,1
2021-10-26,1.54,1.62,5.05,V,1
2021-07-27,1.35,1.49,10.24,V,1
2021-04-27,1.27,1.38,8.66,V,1
2021-01-28,1.28,1.42,11.21,V,1
2020-10-28,1.09,1.12,2.93,V,1
2020-07-28,1.03,1.07,3.94,V,1
2020-04-30,1.35,1.38,2.49,V,1
2020-01-30,1.46,1.46,-0.22,V,0
2019-10-24,1.43,1.47,3.08,V,1
2019-07-23,1.32,1.37,3.48,V,1
2019-04-24,1.24,1.31,5.74,V,1
2019-01-30,1.25,1.3,3.93,V,1
2018-10-24,1.2,1.21,1.06,V,1
2018-07-25,1.09,1.2,10.45,V,1
2018-04-25,1.02,1.11,9.11,V,1
2018-02-01,0.99,1.08,8.83,V,1
2017-10-25,0.85,0.9,6.13,V,1
2017-07-20,0.81,0.86,6.62,V,1
2017-04-20,0.79,0.86,8.82,V,1
2017-02-02,0.78,0.86,10.05,V,1
2016-10-24,0.73,0.78,7.16,V,1
2016-07-21,0.66,0.69,3.86,V,1
2025-04-17,7.29,7.2,-1.2,UNH,0
2025-01-16,6.72,6.81,1.3,UNH,1
2024-10-15,7.0,7.15,2.13,UNH,1
2024-07-16,6.66,6.8,2.12,UNH,1
2024-04-16,6.61,7.16,8.24,UNH,1
2024-01-12,5.98,6.16,2.98,UNH,1
2023-10-13,6.32,6.56,3.82,UNH,1
2023-07-14,5.99,6.14,2.57,UNH,1
2023-04-14,6.13,6.26,2.18,UNH,1
2023-01-13,5.17,5.34,3.33,UNH,1
2022-10-14,5.42,5.79,6.8,UNH,1
2022-07-15,5.2,5.57,7.13,UNH,1
2022-04-14,5.38,5.49,2.11,UNH,1
2022-01-19,4.31,4.48,4.05,UNH,1
2021-10-14,4.41,4.52,2.49,UNH,1
2021-07-15,4.43,4.7,6.0,UNH,1
2021-04-15,4.38,5.31,21.15,UNH,1
2021-01-20,2.41,2.52,4.45,UNH,1
2020-10-14,3.09,3.51,13.49,UNH,1
2020-07-15,5.28,7.12,34.94,UNH,1
2020-04-15,3.63,3.72,2.6,UNH,1
2020-01-15,3.77,3.9,3.33,UNH,1
2019-10-15,3.75,3.88,3.56,UNH,1
2019-07-18,3.45,3.6,4.27,UNH,1
2019-04-16,3.6,3.73,3.71,UNH,1
2019-01-15,3.21,3.28,2.23,UNH,1
2018-10-16,3.29,3.41,3.57,UNH,1
2018-07-17,3.04,3.14,3.45,UNH,1
2018-04-17,2.89,3.04,5.03,UNH,1
2018-01-16,2.51,2.59,2.99,UNH,1
2017-10-17,2.56,2.66,3.79,UNH,1
2017-07-18,2.38,2.46,3.44,UNH,1
2017-04-18,2.17,2.37,9.32,UNH,1
2017-01-17,2.07,2.11,1.78,UNH,1
2016-10-18,2.08,2.17,4.36,UNH,1
2016-07-19,1.89,1.96,3.87,UNH,1
2025-04-15,2.59,2.77,7.02,JNJ,1
2025-01-22,2.01,2.04,1.69,JNJ,1
2024-10-15,2.21,2.42,9.36,JNJ,1
2024-07-17,2.7,2.82,4.41,JNJ,1
2024-04-16,2.64,2.71,2.76,JNJ,1
2024-01-23,2.28,2.29,0.39,JNJ,1
2023-10-17,2.52,2.66,5.73,JNJ,1
2023-07-20,2.62,2.8,7.02,JNJ,1
2023-04-18,2.5,2.68,7.01,JNJ,1
2023-01-24,2.23,2.35,5.41,JNJ,1
2022-10-18,2.47,2.55,3.16,JNJ,1
2022-07-19,2.54,2.59,2.15,JNJ,1
2022-04-19,2.56,2.67,4.13,JNJ,1
2022-01-25,2.12,2.13,0.6,JNJ,1
2021-10-19,2.35,2.6,10.57,JNJ,1
2021-07-21,2.27,2.48,9.42,JNJ,1
2021-04-20,2.34,2.59,10.82,JNJ,1
2021-01-26,1.82,1.86,2.15,JNJ,1
2020-10-13,1.98,2.2,11.28,JNJ,1
2020-07-16,1.49,1.67,11.72,JNJ,1
2020-04-14,2.0,2.3,15.26,JNJ,1
2020-01-22,1.87,1.88,0.62,JNJ,1
2019-10-15,2.01,2.12,5.51,JNJ,1
2019-07-16,2.46,2.58,5.02,JNJ,1
2019-04-16,2.03,2.1,3.2,JNJ,1
2019-01-22,1.95,1.97,0.93,JNJ,1
2018-10-16,2.03,2.05,1.06,JNJ,1
2018-07-17,2.07,2.1,1.44,JNJ,1
2018-04-17,2.02,2.06,2.07,JNJ,1
2018-01-23,1.72,1.74,0.96,JNJ,1
2017-10-17,1.8,1.9,5.46,JNJ,1
2017-07-18,1.8,1.83,1.94,JNJ,1
2017-04-18,1.77,1.83,3.26,JNJ,1
2017-01-24,1.56,1.58,1.02,JNJ,1
2016-10-18,1.66,1.68,1.39,JNJ,1
2016-07-19,1.68,1.74,3.55,JNJ,1
2025-05-15,0.58,0.61,5.93,WMT,1
2025-02-20,0.64,0.66,2.57,WMT,1
2024-11-19,0.53,0.58,8.82,WMT,1
2024-08-15,0.65,0.67,3.78,WMT,1
2024-05-16,0.52,0.6,14.6,WMT,1
2024-02-20,0.55,0.6,9.41,WMT,1
2023-11-16,1.52,1.53,0.38,WMT,1
2023-08-17,1.71,1.84,7.91,WMT,1
2023-05-18,1.32,1.47,11.43,WMT,1
2023-02-21,1.51,1.71,13.08,WMT,1
2022-11-15,1.32,1.5,13.64,WMT,1
2022-08-16,1.62,1.77,9.16,WMT,1
2022-05-17,1.48,1.3,-12.28,WMT,0
2022-02-17,1.5,1.53,2.13,WMT,1
2021-11-16,1.4,1.45,3.35,WMT,1
2021-08-17,1.57,1.78,13.3,WMT,1
2021-05-18,1.21,1.69,39.27,WMT,1
2021-02-18,1.51,1.46,-3.09,WMT,0
2020-11-17,1.18,1.34,13.19,WMT,1
2020-08-18,1.25,1.56,24.91,WMT,1
2020-05-19,1.12,1.18,5.47,WMT,1
2020-02-18,1.43,1.38,-3.83,WMT,0
2019-11-14,1.09,1.16,6.32,WMT,1
2019-08-15,1.22,1.27,4.15,WMT,1
2019-05-16,1.02,1.13,10.82,WMT,1
2019-02-19,1.33,1.41,5.71,WMT,1
2018-11-15,1.01,1.08,6.69,WMT,1
2018-08-16,1.22,1.29,5.96,WMT,1
2018-05-17,1.12,1.14,1.6,WMT,1
2018-02-20,1.37,1.33,-2.99,WMT,0
2017-11-16,0.97,1.0,2.76,WMT,1
2017-08-17,1.07,1.08,1.25,WMT,1
2017-05-18,0.96,1.0,3.85,WMT,1
2017-02-21,1.29,1.3,0.96,WMT,1
2016-11-17,0.96,0.98,1.89,WMT,1
2016-08-18,1.02,1.07,4.71,WMT,1
2025-04-24,1.53,1.54,0.95,PG,1
2025-01-22,1.86,1.88,1.29,PG,1
2024-10-18,1.9,1.93,1.69,PG,1
2024-07-30,1.37,1.4,2.01,PG,1
2024-04-19,1.41,1.52,7.5,PG,1
2024-01-23,1.7,1.84,8.36,PG,1
2023-10-18,1.72,1.83,6.41,PG,1
2023-07-28,1.32,1.37,3.61,PG,1
2023-04-21,1.32,1.37,3.63,PG,1
2023-01-19,1.59,1.59,0.03,PG,0
2022-10-19,1.54,1.57,1.82,PG,1
2022-07-29,1.22,1.21,-1.0,PG,0
2022-04-20,1.29,1.33,2.79,PG,1
2022-01-19,1.65,1.66,0.4,PG,1
2021-10-19,1.59,1.61,1.22,PG,1
2021-07-30,1.08,1.13,4.29,PG,1
2021-04-20,1.19,1.26,6.11,PG,1
2021-01-20,1.51,1.64,8.69,PG,1
2020-10-20,1.42,1.63,14.94,PG,1
2020-07-30,1.01,1.16,14.73,PG,1
2020-04-17,1.13,1.17,3.38,PG,1
2020-01-23,1.37,1.42,3.55,PG,1
2019-10-22,1.24,1.37,10.28,PG,1
2019-07-30,1.05,1.1,4.56,PG,1
2019-04-23,1.03,1.06,2.6,PG,1
2019-01-23,1.21,1.25,3.34,PG,1
2018-10-19,1.09,1.12,2.54,PG,1
2018-07-31,0.9,0.94,4.45,PG,1
2018-04-19,0.98,1.0,1.75,PG,1
2018-01-23,1.14,1.19,4.2,PG,1
2017-10-20,1.08,1.09,1.27,PG,1
2017-07-27,0.78,0.85,8.61,PG,1
2017-04-26,0.94,0.96,2.18,PG,1
2017-01-20,1.06,1.08,1.59,PG,1
2016-10-25,0.98,1.03,5.41,PG,1
2016-08-02,0.74,0.79,6.18,PG,1
2025-05-01,3.57,3.73,4.45,MA,1
2025-01-30,3.69,3.82,3.4,MA,1
2024-10-31,3.74,3.89,3.99,MA,1
2024-07-31,3.51,3.59,2.16,MA,1
2024-05-01,3.24,3.31,2.27,MA,1
2024-01-31,3.08,3.18,3.13,MA,1
2023-10-26,3.21,3.39,5.66,MA,1
2023-07-27,2.82,2.89,2.3,MA,1
2023-04-27,2.72,2.8,3.1,MA,1
